,관할보건소,동,설치기관이름,설치기관주소,기관연락처,설치 위치,위도,경도
525,북구,신용동,빛고을고등학교,광주광역시 북구 첨단연신로108번길 133 (신용동),062-712-8800,강당,35.2088141630805,126.864959002929
526,북구,문흥동,문흥초등학교,광주광역시 북구 면앙로 19 문흥초 (문흥동),062-250-7750,ㅏㅇ당,35.1810609666311,126.914353738447
527,북구,문흥동,문흥중앙초증학교,광주광역시 북구 문산로 17 문흥중앙초 (문흥동),062-250-0590,체육관,35.1834079441543,126.921163227141
528,북구,두암동,문화초등학교,광주광역시 북구 군왕로 135 문화초 (두암동),062-260-2019,본관 1층 교장실 앞 복도,35.1734172827004,126.931337845295
529,북구,우산동,문화중학교,광주광역시 북구 면앙로 111 문화중 (우산동),062-260-8606,강당,35.1784669374922,126.923916172825
530,북구,매곡동,매곡초등학교,광주광역시 북구 초당로 25 매곡초 (매곡동),062-570-5874,강당앞,35.1942602502921,126.894297271173
531,북구,일곡동,서일초등학교,광주광역시 북구 설죽로 590 서일초 (일곡동),062-570-5775,체육관,35.2123806012961,126.898951350574
532,북구,임동,서림초등학교,광주광역시 북구 서림로 113 서림초 (임동),062-520-8608,강당,35.1618825285044,126.899586571334
533,북구,운암동,서강고등학교,광주광역시 북구 서강로 1 서강고 (운암동),062-520-7810,체육관,35.1751796540254,126.868036822922
534,북구,일곡동,살레시오고등학교,광주광역시 북구 모룡대길 67 살레시오고 (일곡동),062-608-9100,체육관,35.2168875377596,126.892060067509
535,북구,오치동,문우초등학교,광주광역시 북구 능안로 7 문우초 (오치동),062-260-1500,체육관앞,35.186122795951,126.916411536255
536,북구,문흥동,문산초등학교,광주광역시 북구 문산로 66 문산초 (문흥동),062-250-2107,체육관,35.1872132883686,126.92514276279
537,북구,문흥동,문산중학교,"광주광역시 북구 대천로 174', ' 문산중학교 (문흥동)",062-260-3566,강당,35.1893470424679,126.923803481913
538,북구,우산동,무등초등학교,광주광역시 북구 면앙로 99 무등초 (우산동),062-260-3800,강당,35.1787925927539,126.922769081199
539,북구,두암동,두암초등학교,"광주광역시 북구 참판로 130', ' 두암초등학교 (두암동)",062-250-6697,강당,35.1694773789436,126.934135243105
540,북구,두암동,광주동신여자중학교,광주광역시 북구 동문대로 50 동신여중 (두암동),062-520-2137,체육관,35.1694378564351,126.92234609245
541,북구,동림동,동림초등학교,광주광역시 북구 동림용산로 7 동림초 (동림동),062-520-6604,체육관,35.187449892996,126.86761865577
542,북구,운암동,대자초등학교,광주광역시 북구 대자로 5 대자초 (운암동),062-520-3172,강당,35.1739159497494,126.873268259497
543,북구,운암동,금파공업고등학교,광주광역시 북구 금호로 80 금파공고 (운암동),062-605-6203,체육관,35.1766316038616,126.887170590844
544,북구,운암동,광주체육고등학교,광주광역시 북구 하서로 55 광주체육고 (운암동),062-520-7176,체육관(무등관),35.1825030471667,126.879416202916
545,북구,누문동,광주제일고등학교,"광주광역시 북구 독립로237번길 33', ' 광주제일고등학교 (누문동)",062-510-8878,체육관,35.1523460583173,126.907047693296
546,북구,오치동,자연과학고등학교,광주광역시 북구 능안로 30 자연과학고 (오치동),062-260-3700,체육관,35.1908427373092,126.915495922118
547,북구,오치동,광주서산초등학교,광주광역시 북구 우치로 263 서산초 (오치동),062-260-8880,강당,35.1891619959727,126.904365729571
548,북구,매곡동,광주공업고등학교,광주광역시 북구 설죽로315번길 14 광주공업고등학교 (매곡동),062-570-2800,체육관,35.1891320023514,126.895135840227
549,북구,신용동,건국초등학교,광주광역시 북구 첨단연신로108번길 86 건국초 (신용동),062-718-3593,강당,35.2106826191624,126.865810020975
550,북구,풍향동,광주교대부설초등학교,광주광역시 북구 필문대로 55 광주교대부초 (풍향동),062-520-4371,체육관,35.1647146772981,126.925697164585
551,북구,오룡동,광주과학고등학교,광주광역시 북구 첨단과기로 215 광주과학고 (오룡동),062-670-3201,체육관,35.2281520527344,126.847833605072
552,북구,용봉동,광주경신여자고등학교,광주광역시 북구 금호로40번길 40 광주경신여자고등학교 (용봉동),062-605-4814,체육관,35.1747383939757,126.892624404685
553,북구,각화동,각화초등학교,광주광역시 북구 각화대로39번길 10 각화초 (각화동),062-260-2607,체육관,35.1824265065507,126.935741856717
555,서구,쌍촌동,쌍촌건강생활지원센터,"광주광역시 서구 쌍학로 47 쌍촌건강생활지원센터 (쌍촌동', ' 영구임대아파트)",062-350-4742,쌍촌건강생활지원센터,35.1473817149178,126.868831347988
556,서구,덕흥동,광주세광학교,광주광역시 서구 유덕로 177 광주세광학교 (덕흥동),062-606-0441,체육관,35.1684483440624,126.836029977144
557,서구,화정동,광주화정중학교,광주광역시 서구 화운로 53 광주화정중학교 (화정동),062-380-3700,본관,35.1441252947262,126.882369093153
558,서구,농성동,농성파출소,광주광역시 서구 화정로 316 농성파출소 (농성동),062-570-4303,농성파출소,35.1504439093423,126.89032886989
559,서구,화정동,화정지구대,광주광역시 서구 화운로 160 화정지구대 (화정동),062-570-4304,화정지구대,35.1532021062634,126.876943474648
560,서구,화정동,염주파출소,광주광역시 서구 염화로134번길 18 염주파출소 (화정동),062-570-4306,염주파출소,35.1415989590487,126.879253690966
561,서구,풍암동,풍암파출소,광주광역시 서구 풍암1로 33 풍암파출소 (풍암동),062-570-4307,풍암파출소,35.1243959031987,126.878889835802
562,서구,치평동,서부경찰서,광주광역시 서구 상무공원로 71 서부경찰서 (치평동),062-570-4371,형사과,35.1507655171155,126.842086932829
563,서구,치평동,상무지구대,광주광역시 서구 상무연하로 106 상무지구대 (치평동),062-570-4302,상무지구대,35.1577628673511,126.850549066782
564,서구,치평동,운천초등학교,광주광역시 서구 치평로 59 운천초등학교 (치평동),062-600-2790,체육관 2층,35.1527032974148,126.846748878355
565,서구,풍암동,풍암고등학교,광주광역시 서구 풍암신흥로39번길 20 풍암고등학교 (풍암동),062-650-0501,본관 1층,35.1229509810012,126.867401541994
566,서구,풍암동,운리초등학교,"광주광역시 서구 풍암운리로23번길 5', ' 운리초등학교 (풍암동)",062-650-3847,2층 체육관 앞,35.1236849359407,126.865658950201
567,서구,풍암동,운리초등학교,"광주광역시 서구 풍암운리로23번길 5', ' 운리초등학교 (풍암동)",062-650-3847,본관,35.1236849359407,126.865658950201
568,서구,쌍촌동,효광중학교,광주광역시 서구 쌍촌로15번길 8 효광중학교 (쌍촌동),062-380-7394,보건실,35.1471256218184,126.863431567901
569,서구,쌍촌동,효광중학교,광주광역시 서구 쌍촌로15번길 8 효광중학교 (쌍촌동),062-380-7394,체육관,35.1471256218184,126.863431567901
570,서구,금호동,만호초등학교,광주광역시 서구 금화로 53 만호초등학교 (금호동),062-370-0272,본관 1층 현관,35.1327927269047,126.854238968615
571,서구,화정동,성진초등학교,광주광역시 서구 학생독립로 16 성진초등학교 (화정동),062-602-5571,2층 체육관 앞,35.1437646267904,126.866259796084
572,서구,화정동,성진초등학교,광주광역시 서구 학생독립로 16 성진초등학교 (화정동),062-602-5571,본관 중앙현관,35.1437646267904,126.866259796084
573,서구,매월동,광주대동고등학교,광주광역시 서구 전평길 50 광주대동고등학교 (매월동),062-600-3607,우측현관,35.1193724930943,126.849728098468
574,서구,금호동,금호지구대,광주광역시 서구 운천로 30 금호지구대 (금호동),062-570-4301,금호지구대,35.1353284034598,126.859395978915
575,서구,동천동,동천파출소,광주광역시 서구 유림로98번길 6 동천파출소 (동천동),062-570-4305,동천파출소,35.1709275625627,126.864417818532
576,서구,치평동,운천초등학교,광주광역시 서구 치평로 59 운천초등학교 (치평동),062-600-2790,본관 중앙현관,35.1527032974148,126.846748878355
577,서구,풍암동,풍암고등학교,광주광역시 서구 풍암신흥로39번길 20 풍암고등학교 (풍암동),062-650-0501,체육실,35.1229509810012,126.867401541994
578,서구,풍암동,운리중학교,광주광역시 서구 풍암신흥로11번길 28 운리중학교 (풍암동),062-712-3351,강당,35.1217231382851,126.862622551943
579,서구,풍암동,운리중학교,광주광역시 서구 풍암신흥로11번길 28 운리중학교 (풍암동),062-712-3351,강당,35.1217231382851,126.862622551943
580,서구,쌍촌동,상무중학교,광주광역시 서구 운천로 142 상무중학교 (쌍촌동),062-380-6330,본관 중앙 현관,35.1449205773258,126.857981545166
581,서구,쌍촌동,상무중학교,광주광역시 서구 운천로 142 상무중학교 (쌍촌동),062-380-6330,체육관 앞,35.1449205773258,126.857981545166
582,서구,치평동,전남중학교,광주광역시 서구 상무공원로 70 전남중학교 (치평동),062-720-5106,본관 1층 중앙현관,35.1510539889934,126.843714225182
583,서구,쌍촌동,동명중학교,광주광역시 서구 운천로 306 동명중학교 (쌍촌동),062-603-8161,체육관 앞,35.1598017535807,126.856600516467
584,서구,풍암동,신암초등학교,광주광역시 서구 풍암2로 56,062-650-0606,본관 교무실 앞,35.1229519532132,126.880927376266
585,서구,매월동,광주대동고등학교,광주광역시 서구 전평길 50 광주대동고등학교 (매월동),062-600-3607,보건실,35.1193724930943,126.849728098468
586,서구,동천동,빛고을초등학교,광주광역시 서구 동천로 7 빛고을초등학교 (동천동),062-510-2771,체육관,35.1693467242647,126.859247762928
587,서구,동천동,빛고을초등학교,광주광역시 서구 동천로 7 빛고을초등학교 (동천동),062-510-2771,본관,35.1693467242647,126.859247762928
588,서구,쌍촌동,유촌초등학교,광주광역시 서구 내방로 153 유촌초등학교 (쌍촌동),062-370-8700,본관,35.1591400407688,126.857956286609
589,서구,쌍촌동,유촌초등학교,광주광역시 서구 내방로 153 유촌초등학교 (쌍촌동),062-370-8700,본관,35.1591400407688,126.857956286609
590,서구,동천동,광림초등학교,광주광역시 서구 하남대로710번길 19 광림초등학교 (동천동),062-510-3703,체육관,35.1694507356427,126.87089625466
591,서구,동천동,광림초등학교,광주광역시 서구 하남대로710번길 19 광림초등학교 (동천동),062-510-3703,본관,35.1694507356427,126.87089625466
592,서구,치평동,전남고등학교,광주광역시 서구 상무공원로 32 전남고등학교 (치평동),062-370-8500,본관,35.1474756132162,126.843732699207
593,서구,동천동,대자중학교,광주광역시 서구 하남대로680번길 27 대자중학교 (동천동),062-510-3891,체육관,35.1690889829872,126.867521746386
594,서구,덕흥동,광주세광학교,광주광역시 서구 유덕로 177 광주세광학교 (덕흥동),062-606-0441,본관,35.1684483440624,126.836029977144
595,서구,쌍촌동,상일중학교,광주광역시 서구 내방로 229 상일중학교 (쌍촌동),062-380-0265,체육관,35.1589883550448,126.865469775746
596,서구,화정동,광주서초등학교,광주광역시 서구 화운로194번길 6 광주서초등학교 (화정동),062-360-4119,본관,35.1560400258278,126.877020856818
597,서구,광천동,효광초등학교,광주광역시 서구 광천2길 33 효광초등학교 (광천동),062-606-8105,본관,35.16681809559,126.879424652094
598,서구,유촌동,광주극락초등학교,광주광역시 서구 상무버들로54번길 5 광주극락초등학교 (유촌동),062-370-2610,체육관,35.1656220635935,126.858182328066
599,서구,금호동,금부초등학교,광주광역시 서구 금화로115번길 22 금부초등학교 (금호동),062-410-1701,금부초등학교,35.1353081355805,126.86136303657
600,서구,금호동,금부초등학교,광주광역시 서구 금화로115번길 22 금부초등학교 (금호동),062-410-1701,금부초등학교,35.1353081355805,126.86136303657
601,서구,동천동,대자중학교,광주광역시 서구 하남대로680번길 27 대자중학교 (동천동),062-510-3891,본관,35.1690889829872,126.867521746386
602,서구,쌍촌동,광주상일여자고등학교,광주광역시 서구 내방로 217 광주상일여자고등학교 (쌍촌동),062-370-2545,체육관,35.1587830713357,126.864459594306
603,서구,쌍촌동,광주상일여자고등학교,광주광역시 서구 내방로 217 광주상일여자고등학교 (쌍촌동),062-370-2545,본관,35.1587830713357,126.864459594306
604,서구,쌍촌동,상일중학교,광주광역시 서구 내방로 229 상일중학교 (쌍촌동),062-380-0265,본관,35.1589883550448,126.865469775746
605,서구,화정동,광주서초등학교,광주광역시 서구 화운로194번길 6 광주서초등학교 (화정동),062-360-4119,체육관,35.1560400258278,126.877020856818
606,서구,치평동,치평초등학교,광주광역시 서구 상무평화로 43 치평초등학교 (치평동),062-370-5809,체육관,35.1491172743127,126.843603576437
607,서구,치평동,치평초등학교,광주광역시 서구 상무평화로 43 치평초등학교 (치평동),062-370-5809,본관,35.1491172743127,126.843603576437
608,서구,광천동,효광초등학교,광주광역시 서구 광천2길 33 효광초등학교 (광천동),062-606-8105,체육관,35.16681809559,126.879424652094
609,서구,유촌동,광주극락초등학교,광주광역시 서구 상무버들로54번길 5 광주극락초등학교 (유촌동),062-370-2610,본관,35.1656220635935,126.858182328066
610,서구,화정동,광주화정초등학교,광주광역시 서구 월드컵4강로146번길 10 광주화정초등학교 (화정동),062-380-2702,체육관 입구,35.1490552296265,126.871399380716
611,서구,화정동,광주화정초등학교,광주광역시 서구 월드컵4강로146번길 10 광주화정초등학교 (화정동),062-380-2702,본관 중앙현관,35.1490552296265,126.871399380716
612,서구,화정동,염주초등학교,광주광역시 서구 염화로134번길 28 염주초등학교 (화정동),062-380-1120,본관 중앙현관,35.1410755246002,126.878788542703
613,서구,풍암동,풍암초등학교,광주광역시 서구 풍암중앙로 8 풍암초등학교 (풍암동),062-670-7373,강당 출입구,35.1237827864561,126.875676171561
614,서구,금호동,금호중학교,광주광역시 서구 금화로115번길 72 금호중학교(금호동),3700755,본관 중앙현관,35.1395844875677,126.861222794193
615,서구,화정동,염주초등학교,광주광역시 서구 염화로134번길 28 염주초등학교 (화정동),062-380-1120,2층 체육관 앞,35.1410755246002,126.878788542703
616,서구,풍암동,풍암초등학교,광주광역시 서구 풍암중앙로 8 풍암초등학교 (풍암동),062-670-7373,본관 교무실 앞,35.1237827864561,126.875676171561
617,서구,금호동,광주중학교,광주광역시 서구 화개중앙로 60 광주중학교 (금호동),062-650-0700,광주중학교,35.1257132267198,126.856113929753
618,서구,금호동,광주중학교,광주광역시 서구 화개중앙로 60 광주중학교 (금호동),062-650-0700,광주중학교,35.1257132267198,126.856113929753
619,서구,쌍촌동,금호초등학교,광주광역시 서구 금부로95번길 26-11 금호초등학교 (쌍촌동),062-370-7171,본관 1층,35.1427241527642,126.859227988093
620,서구,쌍촌동,금호초등학교,광주광역시 서구 금부로95번길 26-11 금호초등학교 (쌍촌동),062-370-7171,2층 체육관 앞,35.1427241527642,126.859227988093
621,서구,화정동,광주화정중학교,광주광역시 서구 화운로 53 광주화정중학교 (화정동),062-380-3700,체육관,35.1441252947262,126.882369093153
622,서구,금호동,광주상무초등학교,광주광역시 서구 금호운천길 67 광주상무초등학교 (금호동),062-370-2804,체육관 입구,35.1408320994081,126.85471744264
623,서구,금호동,광주상무초등학교,광주광역시 서구 금호운천길 67 광주상무초등학교 (금호동),062-370-2804,본관 1층,35.1408320994081,126.85471744264
624,서구,화정동,광덕중학교,광주광역시 서구 화정로 202 광덕중학교 (화정동),062-380-6618,본관 1층,35.1446868977126,126.878496666282
625,서구,양동,광주양동초,광주광역시 서구 경열로121번길 5 광주양동초 (양동),062-606-5783,현관,35.154428715435,126.898910782195
626,서구,화정동,광주서석고,광주광역시 서구 화정로253번길 27 광주서석고 (화정동),062-360-4000,광주서석고,35.1492506672679,126.881314991256
627,서구,화정동,광주서석고,광주광역시 서구 화정로253번길 27 광주서석고 (화정동),062-360-4000,광주서석고,35.1492506672679,126.881314991256
628,서구,풍암동,어린이생태학습도서관,광주광역시 서구 풍암공원로 8 어린이생태학습도서관 (풍암동),062-350-4583,1층 로비,35.1297987237668,126.88185834087
629,서구,금호동,화개초등학교,광주광역시 서구 화개중앙로 48 화개초등학교 (금호동),062-670-5107,2층 강당,35.1251937245226,126.856988796959
630,서구,금호동,화개초등학교,광주광역시 서구 화개중앙로 48 화개초등학교 (금호동),062-670-5107,본관,35.1251937245226,126.856988796959
631,서구,화정동,광덕고등학교,광주광역시 서구 화정로 202 광덕고등학교 (화정동),062-380-6720,체육관,35.1446868977126,126.878496666282
632,서구,화정동,광덕고등학교,광주광역시 서구 화정로 202 광덕고등학교 (화정동),062-380-6720,보건실,35.1446868977126,126.878496666282
633,서구,화정동,광덕고등학교,광주광역시 서구 화정로 202 광덕고등학교 (화정동),062-380-6720,본관,35.1446868977126,126.878496666282
634,서구,화정동,광덕중학교,광주광역시 서구 화정로 202 광덕중학교 (화정동),062-380-6618,체육관,35.1446868977126,126.878496666282
635,서구,쌍촌동,서광초등학교,광주광역시 서구 상무오월로38번길 36 서광초등학교 (쌍촌동),062-370-1102,체육관,35.1548189619075,126.864520934493
636,서구,금호동,마재초등학교,광주광역시 서구 마재로 27 마재초등학교 (금호동),062-670-5281,강당,35.1309353964345,126.862985170647
637,서구,치평동,계수초등학교,광주광역시 서구 상무시민로 51 계수초등학교 (치평동),062-380-2100,본관,35.1562387431652,126.844519439116
638,서구,쌍촌동,서광초등학교,광주광역시 서구 상무오월로38번길 36 서광초등학교 (쌍촌동),062-370-1102,본관 교무실 앞,35.1548189619075,126.864520934493
639,서구,양동,광주양동초,광주광역시 서구 경열로121번길 5 광주양동초 (양동),062-606-5783,강당,35.154428715435,126.898910782195
640,서구,금호동,마재초등학교,광주광역시 서구 마재로 27 마재초등학교 (금호동),062-670-5281,현관,35.1309353964345,126.862985170647
641,광산구,신창동,신창대광로제비앙아파트,"광주광역시 광산구 장신로 306 신창대광로제비앙아파트 (신창동', ' 신창동 대광로제비앙아파트)",062-953-1160,관리사무소 입구,35.1911195439982,126.843413880043
642,북구,각화동,각화골드클래스아파트,"광주광역시 북구 각화대로69번길 16 (각화동', ' 각화동 골드클래스)",062-269-9511,후문경비실,35.1805018291782,126.938854014811
643,북구,풍향동,교대금호어울림,"광주광역시 북구 군왕로 17 (풍향동', ' 교대금호어울림)",062-512-2616,관리사무소내,35.1632834426047,126.928294659205
644,북구,본촌동,건국동주민자치센터,광주광역시 북구 본촌동 378-1,062-410-8854,건국동 주민센터,35.2229384849557,126.881648050961
645,북구,본촌동,호남권역재활병원,광주광역시 북구 하서로 590 (본촌동),062-613-9093,4F 스테이션 복도,35.2257597079966,126.883975209856
646,북구,본촌동,호남권역재활병원,광주광역시 북구 하서로 590 (본촌동),062-613-9093,3F 스테이션 복도,35.2257597079966,126.883975209856
647,북구,본촌동,호남권역재활병원,광주광역시 북구 하서로 590 (본촌동),062-613-9093,2F 직원휴게 복도,35.2257597079966,126.883975209856
648,북구,본촌동,호남권역재활병원,광주광역시 북구 하서로 590 (본촌동),062-613-9093,1F 보조기구 복도,35.2257597079966,126.883975209856
649,북구,본촌동,호남권역재활병원,광주광역시 북구 하서로 590 (본촌동),062-613-9093,LF 외래진료 복도,35.2257597079966,126.883975209856
650,북구,용봉동,전남대학교치과병원,광주광역시 북구 용봉로 33 (용봉동),062-530-5514,3층 E/V 옆,35.171894244575,126.90053423066
651,북구,용봉동,전남대학교치과병원,광주광역시 북구 용봉로 33 (용봉동),062-530-5514,1층,35.171894244575,126.90053423066
652,광산구,삼거동,광주시립제1요양병원,"광주광역시 광산구 삼도로 84-3', ' 광주시립제1요양병원 (삼거동)",062-949-5243,정신병원2층입구,35.1627211348962,126.667738867174
653,광산구,삼거동,광주시립제1요양병원,"광주광역시 광산구 삼도로 84-3', ' 광주시립제1요양병원 (삼거동)",062-949-5243,1층 현관,35.1627211348962,126.667738867174
654,동구,지산동,광주고등법원,"광주광역시 동구 준법로 7-12', ' 광주고등법원 (지산동)",062-239-1340,법정동 1층,35.1511594480371,126.93470038072
655,북구,각화동,휴먼파크서희스타힐스,"광주광역시 북구 군왕로 311 (각화동', ' 휴먼파크 서희스타힐스)",062-251-9400,관리사무소 내,35.187404625828,126.937331379947
656,남구,행암동,브라운스톤효천아파트,"광주광역시 남구 효우2로 89 (행암동', ' 브라운스톤 효천)",062-681-2800,관리사무소,35.0980699755665,126.883870367928
657,서구,금호동,금부마을호반리젠시빌3차,광주광역시 서구 금화로149번길 11,062-375-7725,정문 경비실,35.1339730276807,126.862859716748
658,서구,화정동,화정삼익맨션아파트,광주광역시 서구 죽봉대로 31,062-369-0057,관리사무소,35.1564164483371,126.881836225646
659,서구,동천동,동천마을3단지휴먼시아,광주광역시 서구 동천로18번길 19,062-513-3389,관리사무소,35.1716421149179,126.860803130279
660,남구,백운동,힐스테이트백운아파트,광주광역시 남구 회재로1293번길 7,062-671-9981,정문 경비실,35.1366569159761,126.900631750911
661,광산구,장록동,한국그런포스펌프,광주광역시 광산구 평동산단1번로 140 한국그런포스펌프,062-602-8445,1층 출입구,35.1362124197961,126.771287127907
662,서구,동천동,동천우미린아파트,광주광역시 서구 하남대로710번길 20,062-528-1317,관리사무소 1층,35.1695416123162,126.867162942469
663,서구,치평동,금호쌍용아파트,광주광역시 서구 치평로 35,062-382-4433,관리사무소,35.1512632134999,126.844851116958
664,남구,월산동,월산건강생활지원센터,광주광역시 남구 중앙로 12 1층 건강관리실 앞,062-607-6152,월산건강생활지원센터 1층 건강관리실 앞,35.1445848925518,126.89992155789
665,서구,쌍촌동,쌍촌현대아파트,광주광역시 서구 내방로240번길 10,062-375-3172,3초소 경비실,35.1566874554903,126.866938872623
666,남구,덕남동,광주시립제2요양병원,광주광역시 남구 덕남길 100 (덕남동),062-612-9800,병원 1층 로비,35.0938826429465,126.897649469532
667,서구,풍암동,풍암신암마을부영2차,광주광역시 서구 풍암1로 42,062-682-0828,관리사무소,35.1230171101641,126.878733568663
668,서구,풍암동,신안마을새한센시빌,광주광역시 서구 풍암순환로 54,062-682-5051,정문 상황실 입구,35.1207029821787,126.877068722259
669,서구,유촌동,유촌버들주공2단지,광주광역시 서구 상무버들로 15,062-373-6959,관리사무소,35.1641226822641,126.860692131007
670,서구,치평동,광주광역시청,광주광역시 서구 내방로 111 (치평동),062-613-5538,시청 18층 건강관리실,35.1600994105234,126.851461925213
671,서구,금호동,금호종원팰리스빌,광주광역시 서구 화개1로 59-2,062-682-8225,정문 경비실,35.1313263981294,126.853647454996
672,서구,치평동,상무1차우미,광주광역시 서구 상무공원로 33,062-372-9674,관리사무소,35.1470795381941,126.842813397807
673,서구,풍암동,풍암동주은모아,광주광역시 서구 풍암2로 36,062-681-2326,2 경비실,35.1235447407777,126.880611979919
674,서구,동천동,동천호반베르디움,광주광역시 서구 하남대로680번길 10,062-513-3154,정문 경비실,35.1707287603721,126.86517798761
675,서구,풍암동,삼능남양아파트,광주광역시 서구 풍암순환로 86,062-681-7886,관리사무소,35.1207694135902,126.879856325162
676,서구,풍암동,풍암호반아파트,광주광역시 서구 풍암순환로 14 호반아파트 관리사무소,062-681-1530,중앙경비실,35.1241573990004,126.875067923609
677,서구,금호동,금호동대주파크빌1단지,광주광역시 서구 화개1로24번길 9,062-681-4830,관리사무소,35.1281573399903,126.857160256448
678,서구,광천동,광천동e편한세상,광주광역시 서구 화운로 278,062-367-1300,통합경비실,35.162165052796,126.877576244102
679,서구,금호동,금호호반5차,광주광역시 서구 화개1로78번길 8,062-681-1472,508동 앞 정문 경비실,35.1306733406922,126.855584484495
680,서구,금호동,금호마재마을부영1차,광주광역시 서구 화개1로24번길 10,062-682-0818,중문 경비실,35.1259064601722,126.856859188718
681,광산구,도산동,금강2차아파트,광주광역시 광산구 송도로182번길 15-12,062-945-5082,현관 입구,35.1304558655572,126.795648960883
682,광산구,도산동,카이스트빌1차,광주광역시 광산구 송도로182번길 15-11,062-945-5082,관리동 앞,35.1309863701512,126.795146443208
683,광산구,흑석동,장자울마을휴먼시아5단지,광주광역시 광산구 풍영로145번길 42,062-951-0937,관리동,35.1852371526887,126.811193587013
684,광산구,신촌동,신촌대주파크빌,광주광역시 광산구 사암로 24,062-945-8261,관리동,35.1455504962782,126.807817028692
685,광산구,운남동,운남주공1단지,광주광역시 광산구 목련로273번길 76,062-952-0571,관리사무소,35.1782230725287,126.827632695311
686,광산구,도산동,삼라미주아파트,광주광역시 광산구 남동길 15,062-942-4312,관리사무소,35.1283987135317,126.788054386676
687,광산구,신가동,광주신가주공,광주광역시 광산구 수등로 204,062-961-2122,관리사무소,35.1848340204602,126.830735470528
688,광산구,신가동,아름마을휴먼시아1단지,광주광역시 광산구 수등로123번길 70,062-962-6776,관리사무소,35.1865813954091,126.824472885851
689,광산구,산정동,하남2지구중흥S클래스,광주광역시 광산구 목련로21번길 20,062-956-3788,클래시안센터 로비,35.1756325292956,126.800365549558
690,광산구,장덕동,고실마을휴먼시아8단지,광주광역시 광산구 풍영로330번길 15,062-959-3538,관리동 1층,35.2020414404678,126.815701098364
691,광산구,흑석동,장자울마을휴먼시아4단지,광주광역시 광산구 풍영로145번길 43,062-951-0180,관리사무소 입구,35.1840279811007,126.810786210466
692,서구,금호동,마재중흥아파트,광주광역시 서구 마재로 21,062-681-4377,2초소 경비실,35.1322304010863,126.861414116363
693,서구,쌍촌동,쌍촌우미아트빌,광주광역시 서구 상무민주로 120,062-384-0214,관리사무소,35.1614817608753,126.860273292858
694,서구,치평동,상무중흥2단지,광주광역시 서구 치평로 77,062-372-4793,관리사무소,35.153691660294,126.844853969941
695,서구,치평동,치평동해광한신,광주광역시 서구 상무공원로 114,062-381-5123,1초소 경비실,35.1549631538893,126.843689848249
696,서구,금호동,금호동호반2차,광주광역시 서구 화개1로 33,062-682-2100,정문 경비실,35.12588344808,126.854639877316
697,서구,동천동,동천마을2단지휴먼시아,광주광역시 서구 동천로 11 관리사무소,062-514-2910,관리사무소,35.1700641119586,126.857549142301
698,서구,치평동,치평동라인동산,광주광역시 서구 상무평화로 64,062-376-1174,105동 경비초소,35.1477337860085,126.84473238229
699,서구,풍암동,풍암중흥2차아파트,광주광역시 서구 풍암순환로 10 풍암 중흥2차아파트,062-681-2325,풍암 중흥2차아파트 관리사무소,35.1249896012624,126.873996649089
700,광산구,신가동,수완중흥1차아파트,광주광역시 광산구 수등로76번길 74 수완1단지 중흥에스클래스,9591221,관리사무소,35.1800441839555,126.816296831001
701,남구,행암동,효천LH천년나무6단지아파트,광주광역시 남구 효우2로 90,062-655-1804,관리사무소내,35.0983888554692,126.88300140273
702,광산구,선암동,선운다사로움,광주광역시 광산구 선운로 34,062-943-1995,경비실,35.1491592265723,126.773465181777
703,광산구,선암동,선운이지더원3단지,광주광역시 광산구 선운로 55 이지더원3단지,062-946-6481,정문입구 경비실,35.1500857955509,126.774271315118
704,광산구,하남동,홈플러스하남점,광주광역시 광산구 용아로 390 홈플러스하남점,062-616-8000,고객만족센터,35.1779680851717,126.805383538059
705,서구,동천동,동천마을1단지아파트,광주광역시 서구 동천로 25 관리사무소,062-531-2300,동천마을1단지아파트 관리사무소,35.1715590688379,126.857980795772
706,광산구,고룡동,광주소년원,광주광역시 광산구 고룡동 795-10,062-952-3642,생활관,35.2114764938855,126.767698652085
708,서구,치평동,상무2차라인대주아파트,광주광역시 서구 치평로 15 관리사무소,062-381-7882,상무2차 라인대주아파트 관리사무소,35.1487666078161,126.846535128926
709,서구,치평동,금호대우아파트,광주광역시 서구 치평로 107 관리사무소,062-446-8742,금호대우아파트 관리사무소,35.1567895920827,126.844682142303
710,서구,유촌동,상무버들마을주공1단지아파트,광주광역시 서구 상무버들로40번길 14 관리사무소,062-373-0153,상무버들마들주공1단지아파트 관리사무소,35.1650638679745,126.86123111371
711,서구,풍암동,풍암금호타운1차아파트,광주광역시 서구 풍암중앙로 68 관리사무소,062-655-1166,풍암금호타운1차아파트 관리사무소,35.1257259724705,126.882198841617
712,서구,쌍촌동,광명하이츠타운,광주광역시 서구 내방로251번길 10 관리사무소,062-374-5490,관리사무소,35.1594597958169,126.866147953066
713,광산구,월계동,첨단금호타운,광주광역시 광산구 첨단중앙로181번길 42-5,062-971-9201,정문경비실,35.2212703729256,126.835917323389
714,광산구,운남동,운남우방아이유쉘아파트,광주광역시 광산구 임방울대로 154-24,062-942-2888,정문경비실,35.1748201657368,126.818848933315
715,광산구,산월동,첨단리젠시빌3-2,광주광역시 광산구 첨단중앙로68번길 100,062-453-0335,정문초소,35.2110940178489,126.848919438494
